,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
Trans_id,Menu_id,Sand_id,Employees,Bread_CT,Cheese_CT,Protein_CT,Produce_CT,Wrap_CT,Payment_CT,Cycle,Labor_Cost,Bread_Cost,Cheese_Cost,Protein_Cost,Produce_Cost,Wrap_Cost,Total_Cost,Price,Conv,Wait,Value,Quality,Grade,Date,Time,DateTime,Month,Shift,Store,Sand,Size,,,
8973.42739.4660,5,1,2,38,51,10,60,12,106,277, $1.39 , $0.10 , $0.26 , $0.50 , $0.12 , $0.05 , $2.42 , $4.75 ,6,-14,13,35,40,,,,,,,,,58892,,
8973.42739.4674,5,2,1,49,67,12,66,23,90,307, $0.77 , $0.15 , $0.35 , $1.28 , $0.14 , $0.08 , $2.77 , $5.00 ,7,-18,33,26,48,,,,,,,,,79828,,
8973.42739.4778,5,1,2,43,52,7,52,12,62,228, $1.14 , $0.10 , $0.11 , $0.73 , $0.14 , $0.05 , $2.27 , $4.75 ,9,-9,29,36,65,,,,,,,,,1.3554982,,
8973.42739.4806,5,1,1,34,53,5,95,20,137,344, $0.86 , $0.10 , $0.29 , $0.69 , $0.17 , $0.05 , $2.16 , $4.75 ,4,0,21,39,64,,,,,,,,,1,,
8973.42739.4875,3,1,1,32,86,15,71,20,143,367, $0.92 , $0.10 , $0.29 , $0.37 , $0.12 , $0.05 , $1.85 , $4.25 ,4,-2,11,23,36,,,,,,,,,1,,
8973.42739.4910,4,1,3,51,46,19,74,14,124,328, $2.46 , $0.10 , $0.11 , $0.36 , $0.08 , $0.10 , $3.21 , $3.75 ,4,0,26,30,60,,,,,,,,,2,,
8973.42739.5000,1,1,1,41,71,10,58,20,130,330, $0.83 , $0.10 , $0.17 , $0.37 , $0.08 , $0.10 , $1.65 , $3.75 ,5,-30,19,38,32,,,,,,,,,1,,
8973.42739.5007,2,1,3,28,31,13,35,17,48,172, $1.29 , $0.10 , $0.27 , $0.33 , $0.17 , $0.05 , $2.21 , $3.75 ,4,11,20,36,71,,,,,,,,,1,,
8973.42739.5014,6,2,3,25,45,21,39,20,129,279, $2.09 , $0.15 , $0.34 , $1.64 , $0.28 , $0.08 , $4.58 , $5.00 ,3,-6,37,24,58,,,,,,,,,0.478664005,,
8973.42739.5021,5,2,3,17,44,9,64,17,89,240, $1.80 , $0.15 , $0.37 , $1.36 , $0.21 , $0.08 , $3.97 , $5.00 ,8,-17,30,25,46,,,,,,,,,,,
8973.42739.5042,5,1,2,40,38,8,45,11,87,229, $1.15 , $0.10 , $0.19 , $0.72 , $0.13 , $0.05 , $2.34 , $4.75 ,8,-18,19,13,22,,,,,,,,,#REF!,,
8973.42739.5118,5,1,1,49,50,6,49,23,155,332, $0.83 , $0.10 , $0.21 , $0.71 , $0.10 , $0.05 , $2.00 , $4.75 ,4,-22,30,39,51,,,,,,,,,,,
8973.42739.5125,1,1,1,43,72,9,39,15,130,308, $0.77 , $0.10 , $0.18 , $0.39 , $0.15 , $0.05 , $1.64 , $3.75 ,9,-6,23,13,39,,,,,,,,,,,
8973.42739.5132,5,2,1,41,72,10,58,23,122,326, $0.82 , $0.15 , $0.35 , $1.52 , $0.21 , $0.08 , $3.13 , $5.00 ,4,-3,12,11,24,,,,,,,,,,,
8973.42739.5139,5,2,1,47,66,10,62,19,125,329, $0.82 , $0.30 , $0.32 , $1.26 , $0.18 , $0.08 , $2.96 , $5.00 ,3,-7,27,39,62,,,,,,,,,,,
8973.42739.5139,2,1,3,21,47,11,116,15,40,250, $1.88 , $0.10 , $0.26 , $0.37 , $0.09 , $0.05 , $2.75 , $3.75 ,4,-1,23,37,63,,,,,,,,,,,
